srx_accession,entrez_id,file_path,obs_count,lib_prep,tech_10x,cell_prep,organism,tissue,tissue_ontology_term_id,disease,disease_ontology_term_id,perturbation,cell_line,antibody_derived_tag,czi_collection_id,czi_collection_name,is_lung,study_accession
SRX25737232,34768402,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25737232.h5ad,9511,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,Airway cells,UBERON:0004802,No disease state indicated (sample from a healthy control),,No specific treatment or perturbation applied,Not applicable (sample derived from primary cells rather than an established cell line),no,,,True,PRJNA1149046
SRX19844847,27212946,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844847.h5ad,663,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,idiopathic pulmonary fibrosis,MONDO:0800504,none,none,no,,,True,PRJNA945854
SRX19844848,27212947,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844848.h5ad,1209,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,,IPF (Idiopathic Pulmonary Fibrosis),MONDO:0800504,unsure,not_applicable,no,,,True,PRJNA945854
SRX19844828,27212927,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844828.h5ad,12358,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,pulmonary fibrosis,MONDO:0002771,none,VUHD84,no,,,True,PRJNA945854
SRX19886023,27256570,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886023.h5ad,7207,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,non-small cell lung carcinoma,MONDO:0005233,"DMSO, Sotorasib, Sotorasib + TEAD inhibitor","H-23, H-358",no,,,True,PRJNA952672
SRX19886022,27256569,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886022.h5ad,7335,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,carcinoma non-small cell,MONDO:0005233,"DMSO, Sotorasib (AMG-510), combination of Sotorasib and TEAD inhibitor (G'7883)",H23,no,,,True,PRJNA952672
SRX19886031,27256578,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886031.h5ad,2297,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,carcinoma non-small cell,MONDO:0005233,AMG-510 (1.5 µM) + TEAD inhibitor (500 nM),H-23,no,,,True,PRJNA952672
SRX19886040,27256587,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886040.h5ad,3982,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,carcinoma non-small cell,MONDO:0005233,"AMG-510 800nm, 24h",H358,no,,,True,PRJNA952672
SRX19886029,27256576,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886029.h5ad,3206,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,non-small cell lung carcinoma,MONDO:0005233,"AMG-510 (1.5 µM), Day 15",H-23,no,,,True,PRJNA952672
SRX19886042,27256589,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886042.h5ad,4648,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,carcinoma non-small cell,MONDO:0005233,AMG-510 800nm + TEADi 500nm,H358,no,,,True,PRJNA952672
SRX19886039,27256586,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886039.h5ad,5008,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,,carcinoma non-small cell,MONDO:0005233,baseline,H358,no,,,True,PRJNA952672
SRX19886037,27256584,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886037.h5ad,4816,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,,non-small cell lung carcinoma,MONDO:0005233,"baseline (DMSO, Sotorasib, TEAD inhibitor)",H358,no,,,True,PRJNA952672
SRX19886041,27256588,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886041.h5ad,3646,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,salt-sensitive hypertension,MONDO:0005044,"AMG-510 (Sotorasib) at 800 nm, 24 hours post-treatment",H358 (Carcinoma Non-Small Cell),no,,,True,PRJNA952672
SRX19886035,27256582,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886035.h5ad,6300,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,carcinoma non-small cell,MONDO:0005233,"DMSO, 72h",H-23,no,,,True,PRJNA952672
SRX19886050,27256597,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886050.h5ad,3754,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,non-small cell carcinoma,MONDO:0005233,"AMG-510 (800 nm), several months",H358,no,,,True,PRJNA952672
SRX19886034,27256581,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886034.h5ad,6315,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,carcinoma non-small cell,MONDO:0005233,"AMG-510 1.5um + TEADi 500nm, Day 15",H23,no,,,True,PRJNA952672
SRX19704116,27011669,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704116.h5ad,903,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,control,,not specified,not specified,no,,,True,PRJNA945854
SRX19910927,27285200,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19910927.h5ad,5445,10x_Genomics,3_prime_gex,single_nucleus,Homo sapiens,lung adjacent normal,UBERON:0008946,early-stage lung adenocarcinoma,MONDO:0005061,snap frozen Stage I lung cancer tumor and matching adjacent lung specimens,NYU1630,no,,,True,PRJNA953640
SRX19910935,27285208,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19910935.h5ad,6490,10x_Genomics,3_prime_gex,single_nucleus,Homo sapiens,lung adjacent normal,UBERON:0002048,Stage I lung cancer,MONDO:0008903,Snap frozen specimens from R0 resection,not specified,no,,,True,PRJNA953640
SRX19910933,27285206,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19910933.h5ad,5409,10x_Genomics,3_prime_gex,single_nucleus,Homo sapiens,lung adjacent normal,UBERON:0002048,lung cancer (Stage I),MONDO:0008903,unsure,unsure,no,,,True,PRJNA953640
SRX19907930,27280147,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19907930.h5ad,3450,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,not specified,,IL-13 treatment for 21 days,healthy human airway epithelial cells,no,,,True,PRJNA953399
SRX19910912,27285185,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19910912.h5ad,6508,10x_Genomics,3_prime_gex,single_nucleus,Homo sapiens,lung adjacent normal,,Stage I lung cancer,MONDO:0008903,Snap frozen specimens from patients with R0 resection and lymph node dissection,Not specified; sample from patient NYU1321,no,,,True,PRJNA953640
SRX19907927,27280144,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19907927.h5ad,937,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,not specified (control treatment),,no IL-13 treatment (control),healthy human airway epithelial cells,no,,,True,PRJNA953399
SRX19910941,27285214,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19910941.h5ad,10024,10x_Genomics,3_prime_gex,single_nucleus,Homo sapiens,lung adjacent normal,UBERON:0008946,lung cancer (Stage I),MONDO:0008903,unsure,unsure,no,,,True,PRJNA953640
SRX19844824,27212923,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844824.h5ad,2369,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,IPF (Idiopathic Pulmonary Fibrosis),MONDO:0800504,unsure,not_applicable,no,,,True,PRJNA945854
SRX19886049,27256596,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886049.h5ad,1425,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,carcinoma non-small cell,MONDO:0005233,"DMSO, Sotorasib (AMG-510), Combination of Sotorasib and TEAD inhibitor (G'7883)",H358,no,,,True,PRJNA952672
SRX19704154,27011707,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704154.h5ad,9202,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,CWP (Coal Workers' Pneumoconiosis),MONDO:0006654,Tissue samples digested using collagenase I/dispase II or Miltenyi Multi-Tissue Dissociation Kit....,not specified; primary human lung tissue samples,no,,,True,PRJNA945854
SRX19704152,27011705,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704152.h5ad,7178,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,idiopathic pulmonary fibrosis,MONDO:0800504,unsure,not_applicable,no,,,True,PRJNA945854
SRX19704153,27011706,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704153.h5ad,4234,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,control (healthy),,not specified,not specified,no,,,True,PRJNA945854
SRX20180659,27600006,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20180659.h5ad,4100,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung organoid co-cultured with macrophage,UBERON:0002048,severe plaque psoriasis,MONDO:0005083,"acitretin (30 mg/day), methotrexate (15 mg/week)",lung organoid co-cultured with macrophage,no,,,True,PRJNA966111
SRX20180655,27600002,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20180655.h5ad,4292,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung organoid,UBERON:0002048,essential hypertension,MONDO:0001134,amlodipine treatment,"LO_2, scRNAseq",no,,,True,PRJNA966111
SRX10606547,14083551,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX10606547.h5ad,7066,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,pleural mesothelioma tumor,UBERON:0003390,malignant pleural mesothelioma,MONDO:0005065,none reported,none,no,,,True,PRJNA722248
SRX25737234,34768404,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25737234.h5ad,2172,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,primary airway cells,UBERON:0004802,primary ciliary dyskinesia,MONDO:0016575,unsure,not_applicable,no,,,True,PRJNA1149046
SRX20180654,27600001,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20180654.h5ad,4679,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung organoid,UBERON:0002048,unsure,,unsure,unsure,no,,,True,PRJNA966111
SRX20407494,27829848,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20407494.h5ad,13893,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung adenocarcinoma cell,UBERON:0000115,lung adenocarcinoma,MONDO:0005061,unsure,CAV-002X3,no,,,True,PRJNA973717
SRX20407493,27829847,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20407493.h5ad,11296,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung adenocarcinoma cell,UBERON:0002048,ground-glass opacity featured lung adenocarcinoma,MONDO:0005061,unsure,CAV-001X3,no,,,True,PRJNA973717
SRX20407497,27829851,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20407497.h5ad,15409,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung adenocarcinoma cell,,lung adenocarcinoma,MONDO:0005061,unsure,CAN-005X3,no,,,True,PRJNA973717
SRX20407499,27829853,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20407499.h5ad,11039,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung adenocarcinoma cell,,ground-glass opacity featured lung adenocarcinoma,MONDO:0005061,unsure,"CAV-003X3, derived from lung adenocarcinoma",no,,,True,PRJNA973717
SRX19693847,27001400,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19693847.h5ad,7015,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,human bronchial epithelial cells,UBERON:0002031,related to heart diseases,MONDO:0005267,hypoxia (1% O2) for 6 hours,D66Q (HBE cells cultured on air-liquid interface),no,,,True,PRJNA945417
SRX25737231,34768401,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25737231.h5ad,5376,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,Primary airway cells,UBERON:0001005,none,,none,none,no,,,True,PRJNA1149046
SRX19704193,27011746,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704193.h5ad,7952,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,interstitial lung disease,MONDO:0015925,collagenase I/dispase II treatment,none,no,,,True,PRJNA945854
SRX19704175,27011728,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704175.h5ad,20928,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,control (healthy),,none,not applicable,no,,,True,PRJNA945854
SRX19727433,27037985,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19727433.h5ad,5009,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,no COPD,,unsure,unsure,no,,,True,PRJNA946652
SRX19727432,27037984,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19727432.h5ad,3078,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,,moderate COPD,MONDO:0005002,unsure,unsure,no,,,True,PRJNA946652
SRX19727426,27037978,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19727426.h5ad,1865,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,no COPD,,unsure,unsure,no,,,True,PRJNA946652
SRX19704145,27011698,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704145.h5ad,29773,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,NSIP (Non-Specific Interstitial Pneumonia),MONDO:0002429,collagenase I/dispase II digestion,not specified,no,,,True,PRJNA945854
SRX19704143,27011696,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704143.h5ad,14086,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,idiopathic pulmonary fibrosis,MONDO:0800504,unsure,unsure,no,,,True,PRJNA945854
SRX19704194,27011747,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704194.h5ad,9500,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,Interstitial Lung Disease (ILD),MONDO:0015925,unsure,not_applicable,no,,,True,PRJNA945854
SRX19704144,27011697,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704144.h5ad,16165,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,NSIP (Non-Specific Interstitial Pneumonia),MONDO:0002429,collagenase I/dispase II or Miltenyi Multi-Tissue Dissociation Kit,not specified,no,,,True,PRJNA945854
SRX19704173,27011726,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704173.h5ad,23165,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,control (healthy),,not specified,not specified,no,,,True,PRJNA945854
SRX19780680,27123109,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19780680.h5ad,6511,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,bronchoalveolar cells,UBERON:0004821,post-COVID-19 lung disease,MONDO:0100320,unsure,unsure,no,,,True,PRJNA949104
SRX19704172,27011725,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704172.h5ad,10684,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,control (healthy tissue),,unsure,unsure,no,,,True,PRJNA945854
SRX25737235,34768405,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25737235.h5ad,3170,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,primary airway cells,UBERON:0004802,ciliopathy (primary ciliary dyskinesia),MONDO:0005308,none,not_applicable,no,,,True,PRJNA1149046
SRX19780682,27123111,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19780682.h5ad,5866,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,bronchoalveolar cells,UBERON:0004903,post-COVID-19 lung disease,MONDO:0100320,unsure,unsure,no,,,True,PRJNA949104
SRX19780683,27123112,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19780683.h5ad,4702,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,bronchoalveolar cells,UBERON:0002048,post-COVID-19 lung disease,MONDO:0100320,unsure,unsure,no,,,True,PRJNA949104
SRX19780684,27123113,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19780684.h5ad,7890,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,bronchoalveolar cells,UBERON:0004821,post-COVID-19 lung disease,MONDO:0100320,radiotherapy for squamous cell carcinoma,unsure,no,,,True,PRJNA949104
SRX19780678,27123107,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19780678.h5ad,8295,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,bronchoalveolar cells,UBERON:0004821,post-COVID-19 lung disease,MONDO:0100320,unsure,unsure,no,,,True,PRJNA949104
SRX19704903,27012456,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704903.h5ad,12415,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,human bronchial epithelial cells,UBERON:0002031,not specified,,asymmetrical hypoxic (3.5% O2 basolateral with apical cap ~ 1% O2),"D16S, HBE cells (ALI)",no,,,True,PRJNA945866
SRX20811756,28243078,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20811756.h5ad,5954,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,tracheal aspirate,UBERON:0006833,COVID-19,MONDO:0100096,NoDex (No Dexamethasone),unsure,no,,,True,PRJNA988459
SRX20970826,28404611,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20970826.h5ad,7832,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung adenocarcinoma,UBERON:0002048,cancer,MONDO:0004992,none,Calu-3,no,,,True,PRJNA993165
SRX20612052,28040761,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20612052.h5ad,6369,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,lung cancer,MONDO:0008903,"thoracoscopic left upper lobectomy, ligature plication with absorbable monofilament suture",not applicable,no,,,True,PRJNA980643
SRX20811757,28243079,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20811757.h5ad,2198,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,tracheal aspirate,UBERON:0016553,COVID-19,MONDO:0100096,NoDex (No Dexamethasone),not applicable,no,,,True,PRJNA988459
SRX20811755,28243077,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20811755.h5ad,799,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,tracheal aspirate,UBERON:0006833,COVID-19,MONDO:0100096,NoDex (no dexamethasone),not specified,no,,,True,PRJNA988459
SRX20970828,28404613,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20970828.h5ad,2573,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung adenocarcinoma,UBERON:0002048,non-specific neck pain and low back pain,,none,Calu-3,no,,,True,PRJNA993165
SRX20811747,28243069,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20811747.h5ad,1449,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,tracheal aspirate,UBERON:0016553,COVID-19,MONDO:0100096,Dexamethasone (Dex),other,no,,,True,PRJNA988459
SRX20811748,28243070,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20811748.h5ad,3711,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,tracheal aspirate,,COVID-19,MONDO:0100096,dexamethasone,unsure,no,,,True,PRJNA988459
SRX20811749,28243071,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20811749.h5ad,2559,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,tracheal aspirate,,COVID-19,MONDO:0100096,Dexamethasone (Dex),other,no,,,True,PRJNA988459
SRX20811743,28243065,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20811743.h5ad,5302,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,tracheal aspirate,UBERON:0006538,COVID-19,MONDO:0100096,Dexamethasone (Dex),other,no,,,True,PRJNA988459
SRX21311408,28748540,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX21311408.h5ad,4354,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,unsure,,unsure,innate lymphoid cells,no,,,True,PRJNA1003807
SRX21460116,28901032,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX21460116.h5ad,14984,10x_Genomics,multiome,single_nucleus,Homo sapiens,tumor-distant normal lung,UBERON:0002048,lung cancer susceptibility,MONDO:0012159,smokers and never-smokers,not applicable,no,,,True,PRJNA1008237
SRX21460117,28901033,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX21460117.h5ad,13434,10x_Genomics,multiome,single_cell,Homo sapiens,tumor-distant normal lung,,lung cancer susceptibility,MONDO:0012159,"smoker status (female, smoker)",not specified,no,,,True,PRJNA1008237
SRX21460106,28901022,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX21460106.h5ad,18555,10x_Genomics,multiome,single_nucleus,Homo sapiens,tumor-distant normal lung,UBERON:0002048,lung cancer susceptibility,MONDO:0012159,male never-smokers; no specific treatment,not applicable,no,,,True,PRJNA1008237
SRX19366526,26627437,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19366526.h5ad,6499,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,hESC-derived transitional lung organoids,,other,,other,Rockefeller University Embryonic Stem Cell Line 2 (RUES2),no,,,True,PRJNA934917
SRX21460094,28901010,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX21460094.h5ad,15330,10x_Genomics,multiome,single_nucleus,Homo sapiens,tumor-distant normal lung,UBERON:0002048,lung cancer susceptibility,MONDO:0012159,smokers and never-smokers,not applicable,no,,,True,PRJNA1008237
SRX21460115,28901031,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX21460115.h5ad,19023,10x_Genomics,multiome,single_nucleus,Homo sapiens,tumor-distant normal lung,,lung cancer,MONDO:0008903,"smoker status (female, smoker)",not specified,no,,,True,PRJNA1008237
SRX21460093,28901009,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX21460093.h5ad,13635,10x_Genomics,multiome,single_nucleus,Homo sapiens,tumor-distant normal lung,,lung cancer susceptibility,MONDO:0012159,smoking effects on gene expression,other,no,,,True,PRJNA1008237
SRX21808828,29614582,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX21808828.h5ad,11576,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,parietal pleura,UBERON:0002400,type 2 diabetes mellitus,MONDO:0005148,bifidobacterium tetragenous viable bacteria tablets,unsure,no,,,True,PRJNA1018509
SRX25737228,34768398,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25737228.h5ad,8034,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,Airway cells,UBERON:0008397,not applicable,,not applicable,not applicable,no,,,True,PRJNA1149046
SRX21808827,29614581,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX21808827.h5ad,9186,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,parietal pleura,UBERON:0002400,"pleural mesothelioma, rheumatoid arthritis",MONDO:0003308,collagenase I and DNase I treatment,not specified,no,,,True,PRJNA1018509
